order_id,date,city,restaurant_name,cuisine,category,order_value,delivery_time_mins,rating,payment_mode,is_weekend
1001,2024-01-05,Mumbai,Burger King,Fast Food,Burgers,320,28,4.2,UPI,0
1002,2024-01-06,Delhi,Dominos,Italian,Pizza,550,35,4.5,Card,1
1003,2024-01-06,Bangalore,KFC,Fast Food,Chicken,420,22,4.0,Cash,1
1004,2024-01-07,Mumbai,Subway,Healthy,Sandwiches,280,20,4.3,UPI,0
1005,2024-01-08,Hyderabad,McDonald's,Fast Food,Burgers,370,25,3.9,Card,0
1006,2024-01-09,Chennai,Pizza Hut,Italian,Pizza,610,40,4.1,UPI,0
1007,2024-01-10,Pune,Biryani Blues,Indian,Biryani,480,30,4.6,Cash,0
1008,2024-01-12,Mumbai,Haldiram's,Indian,Snacks,250,18,4.4,UPI,0
1009,2024-01-13,Delhi,Wow Momo,Chinese,Momos,320,22,4.2,Card,1
1010,2024-01-13,Bangalore,Faasos,Indian,Wraps,390,28,3.8,UPI,1
1011,2024-01-14,Mumbai,Box8,Indian,Meals,430,35,4.0,UPI,0
1012,2024-01-15,Hyderabad,Behrouz Biryani,Indian,Biryani,680,38,4.7,Card,0
1013,2024-01-17,Chennai,Dominos,Italian,Pizza,590,32,4.3,UPI,0
1014,2024-01-18,Delhi,Burger King,Fast Food,Burgers,340,26,4.1,Cash,0
1015,2024-01-19,Pune,KFC,Fast Food,Chicken,510,24,3.9,UPI,0
1016,2024-01-20,Mumbai,Paradise Biryani,Indian,Biryani,720,42,4.8,Card,1
1017,2024-01-20,Bangalore,Pizza Hut,Italian,Pizza,560,36,4.2,UPI,1
1018,2024-01-21,Delhi,Haldiram's,Indian,Snacks,290,19,4.5,Cash,0
1019,2024-01-22,Hyderabad,McDonald's,Fast Food,Burgers,380,23,4.0,UPI,0
1020,2024-01-23,Mumbai,Subway,Healthy,Sandwiches,310,21,4.3,Card,0
1021,2024-02-01,Delhi,Wow Momo,Chinese,Momos,350,24,4.1,UPI,0
1022,2024-02-02,Bangalore,Biryani Blues,Indian,Biryani,500,31,4.5,Card,1
1023,2024-02-03,Mumbai,Faasos,Indian,Wraps,410,27,3.9,Cash,1
1024,2024-02-04,Chennai,Box8,Indian,Meals,440,34,4.2,UPI,0
1025,2024-02-06,Pune,Behrouz Biryani,Indian,Biryani,700,40,4.6,Card,0
1026,2024-02-07,Mumbai,Dominos,Italian,Pizza,580,33,4.4,UPI,0
1027,2024-02-08,Delhi,KFC,Fast Food,Chicken,430,25,4.0,Cash,0
1028,2024-02-09,Bangalore,Burger King,Fast Food,Burgers,360,27,3.8,UPI,0
1029,2024-02-10,Hyderabad,Paradise Biryani,Indian,Biryani,730,43,4.9,Card,1
1030,2024-02-11,Mumbai,Pizza Hut,Italian,Pizza,600,37,4.3,UPI,1
1031,2024-02-13,Chennai,Haldiram's,Indian,Snacks,270,17,4.4,Cash,0
1032,2024-02-14,Delhi,McDonald's,Fast Food,Burgers,390,24,4.1,UPI,0
1033,2024-02-15,Pune,Subway,Healthy,Sandwiches,300,20,4.2,Card,0
1034,2024-02-17,Mumbai,Wow Momo,Chinese,Momos,330,23,4.0,UPI,1
1035,2024-02-18,Bangalore,Box8,Indian,Meals,450,36,4.3,Cash,1
1036,2024-02-19,Hyderabad,Biryani Blues,Indian,Biryani,490,29,4.5,UPI,0
1037,2024-02-20,Mumbai,Faasos,Indian,Wraps,400,26,3.7,Card,0
1038,2024-02-21,Delhi,Behrouz Biryani,Indian,Biryani,710,41,4.7,UPI,0
1039,2024-02-22,Chennai,Dominos,Italian,Pizza,570,31,4.2,Cash,0
1040,2024-02-24,Pune,Burger King,Fast Food,Burgers,350,28,4.0,UPI,1
1041,2024-03-02,Mumbai,KFC,Fast Food,Chicken,440,23,4.1,Card,1
1042,2024-03-03,Bangalore,Paradise Biryani,Indian,Biryani,750,44,4.8,UPI,1
1043,2024-03-04,Delhi,Pizza Hut,Italian,Pizza,620,38,4.4,Cash,0
1044,2024-03-05,Hyderabad,Haldiram's,Indian,Snacks,260,16,4.5,UPI,0
1045,2024-03-06,Mumbai,McDonald's,Fast Food,Burgers,400,25,4.0,Card,0
1046,2024-03-08,Chennai,Subway,Healthy,Sandwiches,320,21,4.3,UPI,0
1047,2024-03-09,Pune,Wow Momo,Chinese,Momos,340,22,4.1,Cash,1
1048,2024-03-10,Mumbai,Box8,Indian,Meals,460,35,4.2,UPI,1
1049,2024-03-12,Delhi,Biryani Blues,Indian,Biryani,510,30,4.6,Card,0
1050,2024-03-13,Bangalore,Faasos,Indian,Wraps,420,28,3.9,UPI,0
